tag,x,y
yellow,0.005628506125846855,-1.4999999999999998
yellow,3.5337432924384653,-1.6638946306036722
yellow,6.302688274538745,-3.517383477511523
yellow,6.648217528491273,-7.026715844767928
yellow,9.277046323439233,-8.937979044121944
yellow,12.784094205204976,-8.599149841847467
yellow,16.13605372156318,-9.428224685468711
yellow,19.180262264834496,-11.219928326417946
yellow,22.289376673897912,-12.90173619592187
yellow,25.546787667706457,-14.239491487239656
yellow,28.991896150427515,-13.825091026654473
yellow,32.02687144378262,-12.023352438575554
yellow,35.13262847383773,-10.35721066576394
yellow,38.61570311311659,-9.908218481313082
yellow,41.926798882357325,-11.019739140272868
yellow,44.57240337755507,-13.357614466295503
yellow,47.58166277838326,-15.168573456222777
yellow,51.06554983860037,-15.620028004126512
yellow,54.50137332785262,-14.87581824623399
yellow,57.44368853594088,-12.941650758629992
yellow,60.645495713607026,-12.835417982197193
yellow,63.62334967632811,-14.719273102487714
yellow,67.03614019974471,-15.56540173408504
yellow,70.5336003002787,-15.22548729750613
yellow,73.64298548260707,-13.597192714991294
yellow,76.4607714922326,-11.465343252301022
yellow,79.84953972853324,-10.774042438962951
yellow,82.97757007791468,-12.368744607826608
yellow,85.94991757200269,-14.283731342764723
yellow,89.01940909685167,-16.03625438284927
yellow,92.3243673900768,-17.265010264850847
yellow,95.80323263691058,-17.890021175136443
yellow,99.1598167673656,-18.962835540680462
yellow,102.49363560351485,-20.084521869553857
yellow,105.68298063286478,-18.94120561224481
yellow,108.06352666041639,-16.336483432695566
yellow,111.3968804748384,-15.52457286992093
yellow,114.895859021872,-15.929902371974494
yellow,117.61608526167477,-18.075691629020046
yellow,118.82308905088806,-21.340689206564246
yellow,116.97662304437118,-24.023305588215667
yellow,113.4739915592976,-24.447301566484466
yellow,109.94265597157685,-24.62216208107262
yellow,106.40750969122033,-24.68652571812727
yellow,102.87254586630108,-24.627646603621525
yellow,99.3500524498524,-24.33577414352181
yellow,95.86921768898866,-23.721817400298313
yellow,92.42963177643134,-22.90316086167661
yellow,88.99659450838497,-22.056868977599734
yellow,85.53692841797071,-21.328382378672618
yellow,82.04767444116658,-20.757881115255692
yellow,78.53611022439544,-20.346407691893898
yellow,75.0098858724364,-20.089769070734558
yellow,71.47594524435989,-19.98075519136854
yellow,67.94032080851163,-19.939613247623374
yellow,64.40677034410555,-19.82165785766285
yellow,60.8898372545461,-19.47031692497157
yellow,57.43516347666103,-18.73156840709846
yellow,54.078211027679544,-17.623310370771406
yellow,50.71158386118005,-16.54585096923004
yellow,47.22995228646489,-15.971912428034615
yellow,43.72882435302535,-16.341726084776248
yellow,40.272415423756684,-17.039746031461625
yellow,36.83474348562981,-16.302558428576
yellow,33.35949525151897,-15.852941774361094
yellow,30.076602776660465,-17.090779238011642
yellow,26.814328282638908,-18.18838982621114
yellow,23.634479471405747,-16.669526120809042
yellow,20.29183501802253,-15.577840094584445
yellow,17.198272048763258,-14.137711268422922
yellow,14.568202994850855,-11.845158911877295
yellow,11.099214914649895,-11.516396198982873
yellow,7.58397634694761,-11.859690918985544
yellow,4.085465278084101,-11.429325652126483
yellow,0.8649889438980184,-10.015471145114699
yellow,-1.7788236142111586,-7.674456107290841
yellow,-5.154527136717969,-6.864234986722033
yellow,-8.481986503823778,-7.974746354785847
yellow,-11.855606411899393,-8.678557799806152
yellow,-15.213512617151268,-7.591713631158205
yellow,-18.371356947153373,-6.014557257476108
yellow,-21.5601683554309,-4.588615114425443
yellow,-24.932834929647907,-3.634611644915676
yellow,-27.99106850179382,-4.684713325086458
yellow,-30.588036556513526,-6.913562773787133
yellow,-34.080267765268076,-6.526341265020664
yellow,-37.56761649925831,-5.9502859180408185
yellow,-41.06690512345479,-5.4620333213576
yellow,-43.433293949703696,-3.270591125458544
yellow,-42.00088217238465,-0.40867239370348835
yellow,-38.59668524652774,0.4900162634388176
yellow,-35.07283264625098,0.7634280989013918
yellow,-31.537584496241767,0.7789440975365609
yellow,-28.00359119960278,0.6650962829371152
yellow,-24.468525607041812,0.6111474578562314
yellow,-20.937794141063346,0.7860910246558621
yellow,-17.406447549552986,0.894775409467335
yellow,-13.936676399376001,0.26676265293891943
yellow,-10.539375929912081,-0.7118425726068244
yellow,-7.059681619374942,-1.3169080633649937
yellow,-3.5301581532674735,-1.5042759243517454
blue,1.0027820867582058e-15,1.5000000000000044
blue,3.5382710479495283,1.3565813062045777
blue,6.899182599391406,0.32232036836644384
blue,9.110736948770464,-2.3578325560263487
blue,9.5567786306265,-5.858391685645868
blue,13.00050462298693,-5.581465768292364
blue,16.441878321014464,-6.203657239531385
blue,19.49755549064881,-7.988617971106016
blue,22.62716470755531,-9.649031722278055
blue,25.804173165371385,-11.196662758155709
blue,29.106363071950632,-10.35641576872205
blue,32.095044397366664,-8.453998455714947
blue,35.386214271492676,-7.18071127383183
blue,38.905165491999675,-6.920370501190263
blue,42.315581365012825,-7.805916930978487
blue,45.19422401460278,-9.835650475824421
blue,47.94140568662622,-12.046628710165562
blue,51.39096574242504,-12.599381923958195
blue,54.6426173536066,-11.318524945143709
blue,57.600398495194106,-9.396577445041899
blue,61.071588977449,-9.606466002534138
blue,64.02711178742902,-11.554039602485112
blue,67.38055780443476,-12.57230443510874
blue,70.80252037779918,-11.88359275653118
blue,73.63991103427452,-9.767115307603445
blue,76.7347865522323,-8.086237148126497
blue,80.22529815802716,-7.797609575950863
blue,83.47781433462546,-9.126477349606885
blue,86.45470671252528,-11.050473135572572
blue,89.48267191526054,-12.891985884959276
blue,92.73366121769503,-14.280222273610855
blue,96.21932619701697,-14.915133348588952
blue,99.61676045171008,-15.892623484201021
blue,102.92757127390624,-17.096382196022972
blue,105.43420217791362,-14.688250517879398
blue,108.37138927200454,-12.809498012963196
blue,111.8887342966767,-12.534808712704526
blue,115.39773050189183,-12.953686183905798
blue,118.49874669570285,-14.588075469862085
blue,120.69993084626094,-17.33821500192965
blue,121.77128267977403,-20.683187617277877
blue,121.18341768419103,-24.123848062609635
blue,118.75311185848257,-26.578368781617222
blue,115.3106736238217,-27.318437945371464
blue,111.77399333426878,-27.551715334015796
blue,108.23146032845065,-27.667294674027417
blue,104.68707459515247,-27.680544958347173
blue,101.14625780578594,-27.531939779544402
blue,97.62792072257943,-27.1140781969343
blue,94.15447938072822,-26.411580294807116
blue,90.71263175540625,-25.5647928523112
blue,87.26554994181974,-24.74002849600854
blue,83.7864564485219,-24.063891380009323
blue,80.27931195320222,-23.552672775246318
blue,76.75221728815572,-23.204594136011178
blue,73.21289563004095,-23.017725728154204
blue,69.66887963499039,-22.960141099598093
blue,66.12489063603485,-22.901205808515627
blue,62.58700595356741,-22.694228379668193
blue,59.07830197519205,-22.204056942796925
blue,55.64667825979573,-21.32692863552533
blue,52.29367036409737,-20.177945524265834
blue,48.89014974539078,-19.197410050714627
blue,45.36953341169203,-19.07050318738428
blue,41.91716336905527,-19.86316585374812
blue,38.40323056856101,-19.86189558506063
blue,34.98624832878746,-18.927578497319253
blue,31.62563093141382,-19.662132438300947
blue,28.424433022883346,-21.159493314070588
blue,24.97387285687106,-20.73147163297819
blue,21.818486040757,-19.1218488860361
blue,18.387574479384003,-18.29018037236284
blue,15.368068181699586,-16.57455349779522
blue,12.673575832043738,-14.446233659809538
blue,9.15163149523767,-14.784105862456082
blue,5.613839150807307,-14.762014975584966
blue,2.165475978478398,-13.977944015213772
blue,-0.9819460705257069,-12.37978467490106
blue,-3.6676732735692505,-10.093629723031778
blue,-7.039038326271328,-10.605017350704875
blue,-10.360523060246834,-11.729439060468197
blue,-13.85079911898221,-11.279731130423324
blue,-17.168738230690263,-10.03625802551575
blue,-20.285836909585594,-8.3574483671922
blue,-23.622030630460028,-7.382376559157622
blue,-26.495881248054456,-7.654044963801553
blue,-29.310024810565764,-9.660004242035319
blue,-32.809233848222334,-9.843638644692465
blue,-36.28845321319881,-9.174346012040385
blue,-39.78783377916991,-8.614914979018659
blue,-43.255674540961216,-7.996361369486747
blue,-45.75717909514468,-5.626378282334325
blue,-46.50076572659032,-2.2173888840057288
blue,-45.16835351610756,0.9579217099107931
blue,-42.17303417279068,2.7714101778446163
blue,-38.70943524805538,3.496837183951581
blue,-35.17615030757605,3.7617513587654625
blue,-31.632224277355043,3.7814758133547115
blue,-28.0894907547225,3.669906678450945
blue,-24.54583930569548,3.610538565273528
blue,-21.006644922741057,3.7892470959975406
blue,-17.466335869893147,3.9005227600703076
blue,-13.967182837212484,3.387187711368064
blue,-10.564010517078103,2.3968034995666305
blue,-7.092833226308636,1.7008157531868147
blue,-3.555715997637022,1.496111810129621
